"Store Name","Nom du magasin"
"Store Address","Adresse"
"Phone Number","Téléphone"
"Address","Adresse"
"City","Ville"
"Country","Pays"
"All Countries","Tous les pays"
"Itinerary","Itineraire"
"Search request","Recherche"
"Search","Recherche"
"State / Province","Etat / Province"
"Zip Code","Code Postal"
"No available stores","Pas de magasins disponibles"
"Stores list","Liste des magasins"
"None","Aucun"
"Select a store..","Sélectionnez un magasin .."
"Store Shipping (StoreShipper)","Livraison en magasin (StoreShipper)"